############################################################################################################
# This is the online data table for the paper H. Li et. al (2017, in prep)
# "SDSS-IV MaNGA: Discovery and properties of 38 galaxies with minor-axis rotation"
#
# Table title: MaNGAID, ra dec and parameters for the galaxies in Control M^*_{ALL} sample
############################################################################################################
#  MaNGA ID  |    Ra    |    Dec   |  logM^*  |   Sigma  |Delta g-i|   Eps   |lambda_Re|logRe^maj|M^T_{1/2}|
#            |          |          |  M_sun   |L_sun/pc^2|         |         |         |  (kpc)  |  M_sun  |
#     (1)    |    (2)   |    (3)   |   (4)    |    (5)   |   (6)   |   (7)   |    (8)  |   (9)   |   (10)  |
############################################################################################################
1-259650      196.61105   45.28900    11.47       2.18      0.11      0.38      0.37      1.31      11.90  
1-560832      234.44816   38.27560    10.76       2.56      -0.09     0.07      0.08      0.74      11.16  
1-633196      235.49128   48.55694    11.15       2.17      0.21      0.06      0.17      1.04      11.49  
1-284293      197.23932   45.90545    11.21       2.32      0.14      0.18      0.22      1.11      11.60  
1-251278      209.23418   43.31348    11.26       2.26      0.17      0.11      0.19      1.13      11.90  
1-523238      206.14424   23.79661    10.50       2.53      0.06      0.04      0.10      0.54      10.93  
1-260377      207.56945   39.63643    11.46       2.19      0.05      0.08      0.18      1.21      12.02  
1-92832       244.03013   49.29292    11.18       2.57      0.04      0.43      0.11      0.98      11.61  
1-94168       247.85650   46.32418    10.95       2.41      0.39      0.03      0.13      0.81      11.21  
1-210863      246.07346   39.21104    11.00       2.52      0.04      0.18      0.03      0.78      11.42  
1-136292      255.35005   37.38280    11.35       2.27      0.11      0.36      0.09      1.22      11.93  
1-546834      256.67349   35.86958    11.06       2.68      0.07      0.23      0.36      0.71      11.31  
1-178533      259.79333   28.35812    11.30       2.37      0.04      0.06      0.20      1.13      11.80  
1-22414       252.61893   64.02067    10.90       2.24      -0.28     0.02      0.05      1.04      11.50  
1-247449      232.88517   45.65760    10.66       2.73      0.01      0.18      0.34      0.52      10.97  
1-258750      186.06225   46.30176    10.54       2.68      0.09      0.71      0.53      0.66      10.80  
1-322768      235.05723   39.90414    11.42       2.24      0.23      0.45      0.40      1.24      11.99  
1-559041      203.03527   40.49991    10.62       2.42      0.09      0.18      0.37      0.67      11.03  
1-251739      215.96473   40.25883    11.56       2.15      0.06      0.27      0.06      1.30      12.21  
1-172962      156.73896   47.52433    11.29       2.44      0.04      0.21      0.09      1.03      11.68  
1-278015      167.87868   45.64313    10.79       2.51      0.06      0.44      0.05      0.87      11.37  
1-542414      243.49200   49.18961    11.32       2.43      0.04      0.27      0.09      1.02      11.77  
1-322096      229.49308   44.07958    11.08       2.30      0.15      0.27      0.19      1.09      11.78  
1-419288      183.99738   35.71737    11.41       2.23      0.08      0.21      0.05      1.25      12.19  
1-94971       252.43035   38.87272    11.33       2.49      0.08      0.28      0.04      1.03      11.83  
1-22298       253.42738   62.42000    10.85       2.17      0.16      0.29      0.16      0.96      11.37  
1-248328      239.85651   42.26346    11.28       2.57      0.03      0.17      0.12      0.94      11.65  
1-320337      211.47423   48.36555    11.29       2.51      0.05      0.11      0.18      0.92      11.73  
1-286274      208.59216   44.11556    10.96       2.53      0.22      0.36      0.44      0.88      11.36  
1-260743      208.39261   38.99660    11.35       2.15      0.06      0.05      0.05      1.22      12.09  
1-279123      169.66955   45.55273    11.37       2.30      0.09      0.27      0.08      1.20      11.92  
1-198600      229.05208   45.23306    11.20       2.50      0.04      0.32      0.22      0.97      11.72  
1-93908       247.33187   43.86338    11.20       2.57      0.14      0.25      0.07      0.89      11.54  
1-210784      247.09712   39.57030    10.88       2.41      0.06      0.12      0.22      0.76      11.22  
1-546912      256.15292   37.00759    11.10       2.51      0.03      0.20      0.06      0.97      11.71  
1-113647      319.81483   10.07063    11.08       2.48      0.12      0.19      0.27      0.85      11.65  
1-276563      163.68230   44.52729    10.58       2.52      0.16      0.26      0.22      0.67      10.96  
1-275340      161.26170   43.70476    11.02       2.51      0.17      0.31      0.53      0.78      11.36  
1-210785      246.76507   39.52739    10.96       2.50      0.03      0.18      0.37      0.85      11.29  
1-251775      215.21668   40.36212    11.43       2.27      0.06      0.32      0.06      1.21      12.04  
1-260458      206.06965   39.50915    10.99       2.55      0.05      0.51      0.07      0.89      11.43  
1-172936      156.43338   47.32649    11.42       2.34      0.06      0.18      0.04      1.08      11.99  
1-93876       246.94294   44.17752    11.08       2.35      -0.01     0.05      0.07      1.04      11.74  
1-209266      233.10750   48.83328    11.36       2.46      0.09      0.30      0.04      1.08      11.90  
1-134209      242.27647   46.67120    11.20       2.32      0.05      0.10      0.07      1.04      11.62  
1-134924      245.66202   43.46466    11.33       2.68      -0.01     0.31      0.14      0.83      11.65  
1-135134      247.22562   40.86661    10.71       2.26      0.04      0.12      0.38      0.77      10.88  
1-634274      253.57262   37.62238    11.46       2.45      0.04      0.13      0.04      1.04      11.89  
1-134884      245.19438   43.15321    11.52       2.09      0.08      0.37      0.06      1.40      12.29  
1-260744      208.06361   38.93508    10.92       2.77      0.08      0.16      0.27      0.65      11.46  
1-634538      256.36966   35.63467    11.06       2.79      0.12      0.13      0.32      0.68      11.39  
1-210774      246.98018   39.25882    10.98       2.42      0.06      0.34      0.21      0.89      11.46  
1-236745      234.88333   38.16372    11.45       2.31      0.06      0.35      0.05      1.15      11.91  
1-594386      244.34814   50.63593    11.36       2.28      0.04      0.11      0.05      1.05      11.76  
1-322113      229.30891   44.01803    11.06       2.26      0.15      0.15      0.17      1.07      11.75  
1-95120       250.40572   40.16349    11.28       2.75      0.03      0.55      0.12      0.95      11.68  
1-29726       355.89492   0.56783     11.34       2.71      0.10      0.41      0.32      0.98      11.82  
1-51970        57.90084   -6.45483    10.78       2.75      0.04      0.50      0.41      0.56      11.10  
1-43137       116.21292   39.86289    11.44       2.32      0.08      0.17      0.07      1.11      11.94  
1-545611      149.02507   46.15248    11.07       2.58      0.05      0.13      0.04      0.77      11.51  
1-232720      144.40098   38.27730    11.33       2.36      0.03      0.17      0.18      1.15      12.02  
1-490074      170.57260   23.27731    10.89       2.82      0.07      0.41      0.04      0.68      11.29  
1-71488       116.67872   36.07333    11.24       2.27      0.03      0.01      0.05      0.99      11.70  
1-339111      117.96446   46.06943    11.20       2.56      0.00      0.26      0.14      0.88      11.77  
1-460404      125.63423   18.74433    11.06       2.69      0.11      0.32      0.24      0.83      11.59  
1-210604      243.88065   41.40702    10.56       3.20      0.04      0.51      0.20      0.27      10.82  
1-569098      247.91908   42.44875    10.98       2.52      0.10      0.26      0.04      0.89      11.41  
1-149593      170.70810   51.20771    10.55       2.99      0.05      0.54      0.44      0.50      10.77  
1-316385      232.54283   29.00840    11.40       2.48      0.05      0.05      0.06      1.05      11.91  
1-542308      232.56336   56.83220    11.17       2.49      0.02      0.12      0.03      0.89      11.33  
1-180299      322.11524   0.18206     11.32       2.25      0.04      0.27      0.06      1.23      12.13  
1-48773       135.23651   54.95451    11.16       2.12      0.03      0.38      0.17      1.15      11.75  
1-384548      126.53561   23.73992    10.64       2.91      0.14      0.40      0.35      0.60      11.03  
1-586585      154.85845   44.40468    11.04       2.39      0.13      0.02      0.05      0.76      11.22  
1-94696       251.45849   43.86647    10.82       2.29      0.16      0.17      0.53      0.85      11.10  
1-205522      310.75705   1.13351     11.11       2.44      0.01      0.16      0.26      0.99      11.85  
1-52494        60.08380   -5.58524    11.32       2.23      0.09      0.25      0.07      1.22      12.04  
1-378428      116.52296   48.84797    10.79       2.67      0.06      0.11      0.05      0.64      11.17  
1-351746      122.51029   50.72084    11.30       2.45      0.04      0.18      0.06      1.02      11.78  
1-266288      215.44975   42.32786    11.28       2.08      0.11      0.33      0.10      1.26      12.16  
1-135664      249.33547   41.18898    10.72       2.62      0.16      0.29      0.44      0.67      11.03  
1-394326      158.13180   36.36707    11.18       2.58      0.08      0.51      0.40      1.06      11.85  
1-198182      224.74965   48.40986    11.10       2.86      0.07      0.35      0.40      0.72      11.44  
1-270160      248.27462   26.21181    11.39       2.51      0.25      0.32      0.48      1.08      12.00  
1-264054      236.60242   30.26698    10.91       2.85      0.08      0.53      0.40      0.65      11.35  
1-51938        57.69903   -7.02879    10.70       2.59      0.31      0.30      0.44      0.62      10.99  
1-121747      118.17371   35.32094    11.31       2.07      0.13      0.33      0.08      1.33      12.03  
1-210578      243.62321   41.58073    11.21       1.81      0.15      0.38      0.13      1.45      12.01  
1-44113       120.20641   44.69117    11.33       2.60      0.09      0.35      0.10      1.07      11.95  
1-378826      118.62567   51.12145    11.16       2.32      0.10      0.16      0.03      1.02      11.88  
1-379653      120.22184   55.56311    11.09       2.35      0.19      0.15      0.26      0.89      11.62  
1-94451       249.82988   42.18413    10.51       2.96      0.12      0.50      0.39      0.48      10.72  
1-145842      117.87004   27.20214    11.02       1.96      0.02      0.25      0.08      1.22      11.71  
1-180153      322.61231   -0.00676    11.61       2.16      0.07      0.16      0.06      1.37      12.36  
1-639152       58.29199   -5.49710    11.33       2.37      0.10      0.13      0.03      1.10      12.00  
1-488532      167.42166   21.74038    10.86       3.07      0.03      0.14      0.14      0.41      11.15  
1-38777        56.28419   -0.94710    11.29       2.42      -0.00     0.36      0.03      1.06      11.92  
1-146046      118.32396   27.46074    10.56       2.74      0.13      0.13      0.24      0.52      10.69  
1-604210       59.35509   -5.42067    11.27       2.47      0.05      0.23      0.10      1.03      11.81  
1-44091       120.21147   44.75226    11.32       2.44      0.06      0.17      0.06      1.02      11.88  
1-564239      133.79826   53.82832    11.25       2.37      0.07      0.04      0.08      1.09      12.01  
1-351815      119.99774   50.09694    11.23       2.60      0.10      0.14      0.14      0.91      11.82  
1-351692      121.42955   48.93378    10.80       2.82      0.04      0.25      0.26      0.60      11.37  
1-197218      213.83484   52.34590    11.36       2.29      0.04      0.28      0.10      1.22      12.05  
1-458209      206.08572   26.08419    10.53       2.45      0.03      0.22      0.22      0.68      10.79  
1-569263      216.73151   42.09605    11.49       2.51      0.03      0.28      0.19      1.11      12.10  
1-394382      157.65067   35.91661    11.54       2.44      0.02      0.20      0.11      1.14      12.10  
1-576188      169.47578   49.59338    11.11       2.56      0.12      0.38      0.35      0.97      11.69  
1-593971      235.14697   28.36065    11.16       2.89      -0.00     0.33      0.21      0.69      11.56  
1-176829      255.30706   33.51318    10.92       2.47      0.13      0.11      0.05      0.77      11.54  
1-167519      153.91468   44.65687    11.16       2.40      0.10      0.44      0.06      1.11      11.89  
1-289865      322.04858   0.29988     11.38       2.34      0.01      0.30      0.05      1.13      11.86  
1-634789      263.09891   55.41468    11.10       2.39      0.03      0.17      0.07      0.91      11.69  
1-256155      165.15396   44.09751    10.71       2.99      -0.02     0.54      0.42      0.54      10.95  
1-379660      119.97372   55.37482    10.58       2.82      0.16      0.33      0.42      0.54      10.86  
1-109521       54.59707   -1.18410    10.83       2.30      0.04      0.28      0.11      0.91      11.48  
1-36877        42.31808   -0.77411    11.29       2.29      0.07      0.02      0.06      1.07      11.98  
1-52367        58.81371   -5.34437    10.93       2.28      0.23      0.36      0.34      0.87      11.47  
1-491047      172.14317   21.01070    10.62       2.72      0.26      0.34      0.43      0.57      10.72  
1-245451      212.27864   53.46352    11.06       2.49      0.28      0.21      0.17      0.89      11.61  
1-210128      242.43811   42.43995    11.02       2.54      0.13      0.18      0.09      0.87      11.46  
1-251657      213.80704   41.67433    11.38       2.39      0.03      0.40      0.11      1.17      11.99  
1-197718      219.03122   49.72034    11.47       2.23      -0.00     0.23      0.05      1.25      12.11  
1-174036      171.30053   48.73579    11.17       2.18      0.09      0.17      0.07      1.13      11.81  
1-236081      226.31921   41.74145    11.13       2.37      0.08      0.25      0.05      1.06      11.73  
1-135117      246.93995   41.07271    10.97       2.70      0.09      0.52      0.43      0.77      11.30  
1-264108      235.31945   30.17774    11.34       2.19      0.23      0.11      0.38      1.13      11.90  
1-45108       121.96467   45.91823    10.71       2.97      0.15      0.28      0.21      0.49      10.97  
1-264488      237.15149   29.00190    11.02       2.14      0.09      0.15      0.38      1.14      11.37  
1-94514       248.24118   42.52467    11.24       2.48      0.02      0.25      0.03      0.99      11.66  
1-229012       57.11265   -0.78873    10.94       2.85      0.10      0.27      0.26      0.53      11.40  
1-94765       249.27465   44.26975    11.11       2.09      -0.12     0.15      0.06      1.12      11.69  
1-232516      143.46372   37.00336    11.12       2.52      0.08      0.16      0.06      0.94      11.61  
1-282527      185.57046   43.73635    10.54       2.34      0.08      0.38      0.34      0.74      11.16  
